year,state,state_po,office,district,candidate,party_detailed,writein,candidatevotes,totalvotes,percentvotes
1976,MICHIGAN,MI,US SENATE,statewide,FRANK GIRARD,SOCIALIST LABOR,FALSE,2554,3490412,0.000731719
1976,MICHIGAN,MI,US SENATE,statewide,PAULA L. REIMERS,SOCIALIST WORKERS,FALSE,3399,3490412,0.000973811
1976,MICHIGAN,MI,US SENATE,statewide,PETER A. SIGNORELLI,U.S. LABOR,FALSE,2218,3490412,0.000635455
1976,MINNESOTA,MN,US SENATE,statewide,ROBIN E. MILLER,LIBERTARIAN,FALSE,5476,1912020,0.002863987
1976,MINNESOTA,MN,US SENATE,statewide,BILL PETERSON,SOCIALIST WORKERS,FALSE,9380,1912020,0.004905806
1976,MINNESOTA,MN,US SENATE,statewide,MATT SAVOLA,COMMUNIST,FALSE,2214,1912020,0.001157938
1976,MINNESOTA,MN,US SENATE,statewide,JERRY BREKKE,REPUBLICAN,FALSE,478602,1912020,0.250312235
1976,MINNESOTA,MN,US SENATE,statewide,PAUL HELM,AMERICAN,FALSE,125612,1912020,0.065695966
1976,MINNESOTA,MN,US SENATE,statewide,HUBERT H. HUMPHREY,DEMOCRAT,FALSE,1290736,1912020,0.675064068
1976,MISSISSIPPI,MS,US SENATE,statewide,JOHN C. STENNIS,DEMOCRAT,FALSE,554433,554433,1
1976,MISSOURI,MO,US SENATE,statewide,JOHN C. DANFORTH,REPUBLICAN,FALSE,1090067,1914460,0.569386145
1976,MISSOURI,MO,US SENATE,statewide,WARREN E. HEARNES,DEMOCRAT,FALSE,813571,1914460,0.424961086
1976,MISSOURI,MO,US SENATE,statewide,LAWRENE (RED) PETTY,INDEPENDENT,FALSE,10822,1914460,0.005652769
1976,MONTANA,MT,US SENATE,statewide,STANLEY C. BURGER,REPUBLICAN,FALSE,115213,321445,0.358422125
1976,MONTANA,MT,US SENATE,statewide,JOHN MELCHER,DEMOCRAT,FALSE,206232,321445,0.641577875
1976,NEBRASKA,NE,US SENATE,statewide,,,TRUE,58,593310,9.77567E-05
